"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0090068","positive regulation of cell cycle process",207,-0.791395767524634,-2.69899672259081,0.0178571428571429,0.0701841359773371,0.0413746831668406,968,"tags=37%, list=7%, signal=35%","83695/55719/11331/51143/55920/79677/84250/4869/56852/23137/3192/7027/5889/23636/163786/5902/7517/5087/23310/80174/27085/55835/348654/6240/1894/6909/3619/1663/994/29781/11113/9918/2237/10635/6491/8317/144455/9700/113130/6241/2146/10926/993/9493/54892/29127/220134/9928/9585/983/6790/26271/4085/29899/11065/9134/51514/10051/81610/990/10733/891/699/332/221150/995/10615/55143/79733/23397/79915/10403/9787/64151/57082/9212/991"
"GO:0033044","regulation of chromosome organization",230,-0.790037713096243,-2.69480440881844,0.0175438596491228,0.0701841359773371,0.0413746831668406,1253,"tags=44%, list=9%, signal=41%","9184/54552/51776/25913/10694/55755/10574/6603/6419/10592/92345/6597/11284/29117/55719/6602/10459/51377/996/9183/22948/55193/8899/51143/10445/3320/79677/84250/10575/3183/8607/6599/23137/10664/908/7520/1736/3192/10856/6598/6950/65057/5394/10576/4216/55135/86/54780/167227/7517/54908/23310/7515/3021/8193/142/3181/3178/348654/55055/3184/3619/9735/1663/1017/29781/9918/2237/9700/9319/54892/220134/83903/983/11130/26271/4085/11065/10051/990/891/10460/147841/699/701/332/221150/1063/7272/55143/5347/23397/4751/1062/10403/57405/9787/64151/57082/83540/9212/991"
"GO:0050000","chromosome localization",108,-0.830543055866272,-2.67979968786671,0.0166666666666667,0.0701841359773371,0.0413746831668406,954,"tags=46%, list=7%, signal=43%","25936/4292/9183/3837/55920/81929/348235/3192/79003/54820/84142/23636/79980/54908/55166/55055/1894/3619/84722/9735/90417/113130/3835/29127/220134/9928/81930/983/11130/81620/81610/891/147841/332/221150/151648/1063/7272/10615/55143/4751/11004/1062/10403/57405/9787/3833/57082/83540/9212"
"GO:0051783","regulation of nuclear division",114,-0.855183617065854,-2.67917620475695,0.02,0.0701841359773371,0.0413746831668406,479,"tags=37%, list=4%, signal=36%","23636/7517/1104/54908/27085/348654/55055/3619/9735/10635/9700/9319/79866/220134/9585/83903/11130/6790/26271/4085/11065/891/147841/699/701/157313/332/221150/995/1063/7272/55143/5347/4288/4751/10403/57405/9787/57082/83540/9212/991"
"GO:0000075","cell cycle checkpoint signaling",173,-0.780050437111766,-2.6739130512126,0.0166666666666667,0.0701841359773371,0.0413746831668406,544,"tags=39%, list=4%, signal=38%","83695/8883/10459/29997/9183/80198/8899/51143/84126/675/4436/988/9656/54962/84142/11073/7517/84444/25896/54908/55159/90381/1869/348654/55055/29980/3619/9735/1017/146956/3014/580/1763/9319/672/83990/8914/5888/220134/83903/983/11130/4085/4998/81620/79968/51514/990/641/891/147841/2177/699/701/63967/332/221150/8318/1063/7272/55143/5347/10403/57405/57082/83540/9212/991"
"GO:0007088","regulation of mitotic nuclear division",100,-0.868784605528682,-2.66294937534238,0.0204081632653061,0.0701841359773371,0.0413746831668406,479,"tags=41%, list=4%, signal=40%","23636/7517/1104/54908/27085/348654/55055/3619/9735/9700/9319/79866/220134/9585/83903/11130/6790/26271/4085/11065/891/147841/699/701/157313/332/221150/995/1063/7272/55143/5347/4288/4751/10403/57405/9787/57082/83540/9212/991"
"GO:0051303","establishment of chromosome localization",100,-0.842007199000907,-2.63957189167408,0.0172413793103448,0.0701841359773371,0.0413746831668406,954,"tags=49%, list=7%, signal=46%","25936/4292/9183/3837/55920/81929/348235/3192/79003/54820/84142/23636/79980/54908/55166/55055/1894/3619/84722/9735/90417/113130/3835/29127/220134/9928/81930/983/11130/81620/81610/891/147841/332/221150/151648/1063/7272/10615/55143/4751/11004/1062/10403/57405/3833/57082/83540/9212"
"GO:1901991","negative regulation of mitotic cell cycle phase transition",163,-0.753181281865864,-2.61685822512877,0.02,0.0701841359773371,0.0413746831668406,492,"tags=29%, list=4%, signal=28%","84142/91607/11073/7517/54908/55159/7465/90381/348654/55055/29980/3619/9735/1017/144455/5933/580/9319/672/2146/220134/83903/983/11130/26271/4085/4998/51514/990/641/891/147841/699/701/63967/332/221150/1063/7272/55143/5347/10403/57405/57082/83540/9212/991"
"GO:0006261","DNA-templated DNA replication",147,-0.828699988189497,-2.60620274380774,0.0169491525423729,0.0701841359773371,0.0413746831668406,695,"tags=48%, list=5%, signal=46%","201973/6117/79892/23649/11177/25842/675/54107/54962/91607/11073/10714/10293/64710/57697/55159/4796/142/90381/80174/5982/4175/5111/348654/6240/29980/5985/64785/5426/1663/1017/5422/23594/2237/4172/146956/11169/253714/84515/3978/8317/4173/5983/144455/9837/580/1763/5424/4171/672/10926/8914/5888/5984/4174/7083/4176/26271/4998/51053/81620/9134/990/641/10721/55388/8318/5427/79733/79915/9156"
"GO:0045787","positive regulation of cell cycle",262,-0.748666729965317,-2.60115077688987,0.0185185185185185,0.0701841359773371,0.0413746831668406,860,"tags=31%, list=7%, signal=29%","83695/55719/11331/51143/6929/55920/79677/84250/4869/5292/56852/23137/3192/7027/5889/675/23636/163786/5902/7517/5087/23310/80174/27085/55835/348654/6240/1894/6909/3619/84722/1663/994/29781/11113/9918/2237/10635/6491/8317/144455/9700/113130/6241/2146/10926/993/9493/54892/29127/220134/9928/9585/983/6790/26271/4085/29899/11065/9134/51514/10051/81610/990/10733/891/699/332/221150/995/10615/55143/79733/23397/79915/10403/9787/64151/57082/9212/991"
